sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
220,VS56_20_rep2_S68_R1_001,VS56_20,empirical,VS56_20_rep2_S68_R1_001.fastq.gz,1092635,42594,0.001973517,33.5,3.898282592082443,76.16849394114253,20.88863242931333
221,VS56_20_rep1_S20_R1_001,VS56_20,empirical,VS56_20_rep1_S20_R1_001.fastq.gz,1129771,58486,0.001835995,33.5,5.1768013163729645,82.15522215810734,29.11136757068667
222,VS56_21_rep1_S21_R1_001,VS56_21,empirical,VS56_21_rep1_S21_R1_001.fastq.gz,1106619,36660,0.001871249,33.5,3.3127932920002277,71.14829774956722,18.09001731102135
223,VS56_21_rep2_S69_R1_001,VS56_21,empirical,VS56_21_rep2_S69_R1_001.fastq.gz,986989,25250,0.001847921,33.5,2.5582858572891896,60.60300057703405,11.598384304673976
224,VS56_22_rep2_S70_R1_001,VS56_22,empirical,VS56_22_rep2_S70_R1_001.fastq.gz,947359,26664,0.001821932,33.5,2.814561322582041,64.19503750721293,10.732833237160992
225,VS56_22_rep1_S22_R1_001,VS56_22,empirical,VS56_22_rep1_S22_R1_001.fastq.gz,1328775,149271,0.001897087,33.5,11.233730315516171,94.74899019042124,62.709174841315644
226,VS56_23_rep2_S71_R1_001,VS56_23,empirical,VS56_23_rep2_S71_R1_001.fastq.gz,1106698,55237,0.001904883,33.5,4.991153864920692,81.30409694171956,26.759953837276402
227,VS56_23_rep1_S23_R1_001,VS56_23,empirical,VS56_23_rep1_S23_R1_001.fastq.gz,967882,44317,0.001801566,33.5,4.578760634044233,81.96768609347951,20.16733987305251
228,VS56_24_rep2_S72_R1_001,VS56_24,empirical,VS56_24_rep2_S72_R1_001.fastq.gz,1388424,47768,0.001990454,33.5,3.4404475866161923,70.97518753606464,23.615118291979226
229,VS56_24_rep1_S24_R1_001,VS56_24,empirical,VS56_24_rep1_S24_R1_001.fastq.gz,1135416,38107,0.001787073,33.5,3.35621481465824,73.51413733410271,17.49855741488748
230,VS56_25_rep2_S73_R1_001,VS56_25,empirical,VS56_25_rep2_S73_R1_001.fastq.gz,894898,25346,0.001709145,33.5,2.8322780920283654,55.64050778995961,10.790536641661857
231,VS56_25_rep1_S25_R1_001,VS56_25,empirical,VS56_25_rep1_S25_R1_001.fastq.gz,1191815,190515,0.00186274,33.5,15.985282950793536,97.53317945758799,72.05712637045586
232,VS56_26_rep1_S26_R1_001,VS56_26,empirical,VS56_26_rep1_S26_R1_001.fastq.gz,1132683,39154,0.001647852,33.5,3.456748269374574,71.19157530294288,13.199653779572994
233,VS56_26_rep2_S74_R1_001,VS56_26,empirical,VS56_26_rep2_S74_R1_001.fastq.gz,1158055,33933,0.001601391,33.5,2.930171710324639,70.64339296018464,10.949221004039238
234,VS56_27_rep1_S27_R1_001,VS56_27,empirical,VS56_27_rep1_S27_R1_001.fastq.gz,1236247,36416,0.001769003,33.5,2.945689655869741,73.73052510098096,13.93537218695903
235,VS56_27_rep2_S75_R1_001,VS56_27,empirical,VS56_27_rep2_S75_R1_001.fastq.gz,918102,10733,0.002085158,33.5,1.1690422197097925,49.307559145989615,2.149451817657242
236,VS56_28_rep1_S28_R1_001,VS56_28,empirical,VS56_28_rep1_S28_R1_001.fastq.gz,1086608,23103,0.001675973,33.5,2.126157731214937,59.05943450663589,9.521061742642816
237,VS56_28_rep2_S76_R1_001,VS56_28,empirical,VS56_28_rep2_S76_R1_001.fastq.gz,862704,18511,0.001656312,33.5,2.1456953949442683,49.71148297749568,7.717830351990767
238,VS56_29_rep2_S77_R1_001,VS56_29,empirical,VS56_29_rep2_S77_R1_001.fastq.gz,1040752,44411,0.001785594,33.5,4.267202945562439,72.90825158684362,21.99942296595499
239,VS56_29_rep1_S29_R1_001,VS56_29,empirical,VS56_29_rep1_S29_R1_001.fastq.gz,941945,25549,0.002040002,33.5,2.712366433284321,59.881708020773225,11.85804962492787
240,VS56_3_rep2_S51_R1_001,VS56_3,empirical,VS56_3_rep2_S51_R1_001.fastq.gz,1075955,299012,0.001863069,33.5,27.79038156800238,98.94691286785921,81.08770917484132
241,VS56_3_rep1_S3_R1_001,VS56_3,empirical,VS56_3_rep1_S3_R1_001.fastq.gz,812337,38978,0.001886192,33.4,4.7982549114468505,76.96191575302943,17.61396422388921
242,VS56_30_rep1_S30_R1_001,VS56_30,empirical,VS56_30_rep1_S30_R1_001.fastq.gz,942402,49135,0.001983515,33.5,5.21380472452308,59.448932487016734,23.773802654356608
243,VS56_30_rep2_S78_R1_001,VS56_30,empirical,VS56_30_rep2_S78_R1_001.fastq.gz,873669,22468,0.001999288,33.4,2.571683326294054,55.26543566070398,10.199076745527986
244,VS56_31_rep2_S79_R1_001,VS56_31,empirical,VS56_31_rep2_S79_R1_001.fastq.gz,1001450,55681,0.001826117,33.5,5.560037944979779,79.60184650894404,26.860934795152914
245,VS56_31_rep1_S31_R1_001,VS56_31,empirical,VS56_31_rep1_S31_R1_001.fastq.gz,975033,27311,0.001842481,33.5,2.8010334009207893,64.77207155222158,12.680323139065205
246,VS56_32_rep1_S32_R1_001,VS56_32,empirical,VS56_32_rep1_S32_R1_001.fastq.gz,1071302,136921,0.001818421,33.5,12.780803172214744,88.94979803808425,54.87593768032314
247,VS56_32_rep2_S80_R1_001,VS56_32,empirical,VS56_32_rep2_S80_R1_001.fastq.gz,1075732,55106,0.001970384,33.5,5.122651366697281,85.55972302365839,26.716676283900746
248,VS56_33_rep2_S81_R1_001,VS56_33,empirical,VS56_33_rep2_S81_R1_001.fastq.gz,1050691,36185,0.001783612,33.5,3.443924046175326,66.87824581650318,15.637622619734564
249,VS56_33_rep1_S33_R1_001,VS56_33,empirical,VS56_33_rep1_S33_R1_001.fastq.gz,1005508,23560,0.001741935,33.5,2.3430942369429184,46.667628390075016,9.203693017888055
250,VS56_34_rep2_S82_R1_001,VS56_34,empirical,VS56_34_rep2_S82_R1_001.fastq.gz,968602,27595,0.001753941,33.5,2.848951375281075,71.11944604731679,10.54529717253318
251,VS56_34_rep1_S34_R1_001,VS56_34,empirical,VS56_34_rep1_S34_R1_001.fastq.gz,1000847,28451,0.001869882,33.5,2.842692239672997,66.89267166762839,12.290825158684363
252,VS56_35_rep2_S83_R1_001,VS56_35,empirical,VS56_35_rep2_S83_R1_001.fastq.gz,1071902,19425,0.001860489,33.5,1.812199249558262,44.44604731679169,7.8043854587420665
253,VS56_35_rep1_S35_R1_001,VS56_35,empirical,VS56_35_rep1_S35_R1_001.fastq.gz,966025,24125,0.001769119,33.5,2.4973473771382726,49.826889786497404,10.732833237160992
254,VS56_36_rep2_S84_R1_001,VS56_36,empirical,VS56_36_rep2_S84_R1_001.fastq.gz,1208874,40777,0.001750006,33.5,3.3731389706454102,62.95441431044432,17.36872475476053
255,VS56_36_rep1_S36_R1_001,VS56_36,empirical,VS56_36_rep1_S36_R1_001.fastq.gz,1120385,156505,0.001980256,33.5,13.968858919032298,94.92210040392384,62.723600692440854
256,VS56_37_rep1_S37_R1_001,VS56_37,empirical,VS56_37_rep1_S37_R1_001.fastq.gz,819229,55632,0.001876618,33.5,6.79077522890425,81.1598384304674,29.558568955568376
257,VS56_37_rep2_S85_R1_001,VS56_37,empirical,VS56_37_rep2_S85_R1_001.fastq.gz,1368742,73144,0.001800558,33.5,5.343885114944964,88.06982111944605,37.204270051933065
258,VS56_38_rep2_S86_R1_001,VS56_38,empirical,VS56_38_rep2_S86_R1_001.fastq.gz,1392266,32726,0.00179307,33.5,2.3505565746775403,64.5268320830929,14.411425274091172
259,VS56_38_rep1_S38_R1_001,VS56_38,empirical,VS56_38_rep1_S38_R1_001.fastq.gz,959652,26413,0.001980086,33.5,2.7523518942283243,70.5135603000577,9.18926716676284
260,VS56_39_rep1_S39_R1_001,VS56_39,empirical,VS56_39_rep1_S39_R1_001.fastq.gz,1089965,38420,0.001807913,33.5,3.524883826544889,75.7068667051356,18.032313906520482
261,VS56_39_rep2_S87_R1_001,VS56_39,empirical,VS56_39_rep2_S87_R1_001.fastq.gz,1215642,37478,0.001815465,33.5,3.0829800220788686,76.65897287939988,17.88805539526832
262,VS56_4_rep1_S4_R1_001,VS56_4,empirical,VS56_4_rep1_S4_R1_001.fastq.gz,700182,30328,0.0019177,33.4,4.331445252805699,68.7536064627813,12.435083669936526
263,VS56_4_rep2_S52_R1_001,VS56_4,empirical,VS56_4_rep2_S52_R1_001.fastq.gz,609933,13931,0.001725648,33.4,2.284021359723117,44.87882285054818,4.47201384881708
264,VS56_40_rep1_S40_R1_001,VS56_40,empirical,VS56_40_rep1_S40_R1_001.fastq.gz,1017623,33310,0.001776043,33.4,3.2733143806694622,67.7005193306405,13.747836122331217
265,VS56_40_rep2_S88_R1_001,VS56_40,empirical,VS56_40_rep2_S88_R1_001.fastq.gz,974090,26712,0.002014076,33.5,2.7422517426521162,58.03519907674553,10.761684939411426
266,VS56_41_rep2_S89_R1_001,VS56_41,empirical,VS56_41_rep2_S89_R1_001.fastq.gz,1221795,34450,0.001623222,33.4,2.8196219496724084,67.45527986151183,8.020773225620312
267,VS56_41_rep1_S41_R1_001,VS56_41,empirical,VS56_41_rep1_S41_R1_001.fastq.gz,886893,26403,0.001602848,33.5,2.977022030842503,55.59723023658396,9.073860357761108
268,VS56_42_rep1_S42_R1_001,VS56_42,empirical,VS56_42_rep1_S42_R1_001.fastq.gz,916203,17939,0.001753721,33.5,1.9579721961181091,52.01961915753029,7.06866705135603
269,VS56_42_rep2_S90_R1_001,VS56_42,empirical,VS56_42_rep2_S90_R1_001.fastq.gz,993780,24527,0.001783341,33.4,2.468051278955101,63.574725908828626,9.751875360646277
270,VS56_43_rep2_S91_R1_001,VS56_43,empirical,VS56_43_rep2_S91_R1_001.fastq.gz,1006660,40547,0.002075123,33.5,4.02787435678382,71.95614541257935,19.619157530294288
271,VS56_43_rep1_S43_R1_001,VS56_43,empirical,VS56_43_rep1_S43_R1_001.fastq.gz,967527,32531,0.002105069,33.4,3.362283429816429,70.57126370455858,15.30582804385459
272,VS56_44_rep2_S92_R1_001,VS56_44,empirical,VS56_44_rep2_S92_R1_001.fastq.gz,1025149,54009,0.001890055,33.5,5.2684048855337124,86.45412579342181,28.303519907674552
273,VS56_44_rep1_S44_R1_001,VS56_44,empirical,VS56_44_rep1_S44_R1_001.fastq.gz,1076799,52474,0.001966688,33.4,4.873147170456138,85.06924408540104,27.380265435660707
274,VS56_45_rep1_S45_R1_001,VS56_45,empirical,VS56_45_rep1_S45_R1_001.fastq.gz,1463201,63818,0.001939892,33.4,4.36153337784761,87.92556260819389,33.87189844200808
275,VS56_45_rep2_S93_R1_001,VS56_45,empirical,VS56_45_rep2_S93_R1_001.fastq.gz,928326,47674,0.001803499,33.5,5.13548042390281,82.2994806693595,24.769186381996537
276,VS56_46_rep2_S94_R1_001,VS56_46,empirical,VS56_46_rep2_S94_R1_001.fastq.gz,1108067,49466,0.001956091,33.5,4.46417048788566,86.5406809001731,25.27409117137911
277,VS56_46_rep1_S46_R1_001,VS56_46,empirical,VS56_46_rep1_S46_R1_001.fastq.gz,957795,47722,0.002066971,33.5,4.98248581377017,83.29486439699943,23.788228505481822
278,VS56_47_rep2_S95_R1_001,VS56_47,empirical,VS56_47_rep2_S95_R1_001.fastq.gz,1302104,83461,0.00184733,33.5,6.409703065192949,87.8534333525678,43.65262550490479
279,VS56_47_rep1_S47_R1_001,VS56_47,empirical,VS56_47_rep1_S47_R1_001.fastq.gz,954626,107705,0.001881435,33.5,11.282428930282645,87.37738026543566,51.139642238892094
280,VS56_48_rep1_S48_R1_001,VS56_48,empirical,VS56_48_rep1_S48_R1_001.fastq.gz,967328,30500,0.00185377,33.5,3.153015316418009,60.41546451240624,14.728793998845932
281,VS56_48_rep2_S96_R1_001,VS56_48,empirical,VS56_48_rep2_S96_R1_001.fastq.gz,977197,36206,0.001948296,33.5,3.7050871011679325,76.11079053664166,16.863819965377957
282,VS56_49_rep2_S145_R1_001,VS56_49,empirical,VS56_49_rep2_S145_R1_001.fastq.gz,1459898,24284,0.001834953,33.5,1.6634038816410461,62.99769186381996,10.617426428159261
283,VS56_49_rep1_S97_R1_001,VS56_49,empirical,VS56_49_rep1_S97_R1_001.fastq.gz,1672908,28415,0.001917297,33.5,1.6985393099919421,67.94575879976918,12.723600692440854
284,VS56_5_rep2_S53_R1_001,VS56_5,empirical,VS56_5_rep2_S53_R1_001.fastq.gz,832205,34166,0.001530762,33.5,4.105478818320005,54.01038661281016,6.188690132717831
285,VS56_5_rep1_S5_R1_001,VS56_5,empirical,VS56_5_rep1_S5_R1_001.fastq.gz,776064,40809,0.001525154,33.5,5.258458065314201,61.10790536641662,9.506635891517599
286,VS56_50_rep2_S146_R1_001,VS56_50,empirical,VS56_50_rep2_S146_R1_001.fastq.gz,1196793,66462,0.001759502,33.5,5.553341304636642,85.58857472590883,34.91055972302366
287,VS56_50_rep1_S98_R1_001,VS56_50,empirical,VS56_50_rep1_S98_R1_001.fastq.gz,1470341,105208,0.001902707,33.5,7.155346956930399,93.81130986728216,50.34622042700519
288,VS56_51_rep1_S99_R1_001,VS56_51,empirical,VS56_51_rep1_S99_R1_001.fastq.gz,1553721,48846,0.001789297,33.5,3.1438076720337818,77.51009809578765,23.442008078476633
289,VS56_51_rep2_S147_R1_001,VS56_51,empirical,VS56_51_rep2_S147_R1_001.fastq.gz,1422452,27970,0.001805506,33.5,1.9663229409498526,67.0802077322562,11.85804962492787
290,VS56_52_rep2_S148_R1_001,VS56_52,empirical,VS56_52_rep2_S148_R1_001.fastq.gz,1352526,71462,0.001824186,33.5,5.283595287632179,85.27120600115407,32.256203115983844
291,VS56_52_rep1_S100_R1_001,VS56_52,empirical,VS56_52_rep1_S100_R1_001.fastq.gz,1372199,51711,0.001861886,33.5,3.768476729687167,65.666474321985,18.075591459896135
292,VS56_53_rep2_S149_R1_001,VS56_53,empirical,VS56_53_rep2_S149_R1_001.fastq.gz,1335121,92371,0.001883492,33.5,6.91854895548793,93.36410848240047,48.860357761107906
293,VS56_53_rep1_S101_R1_001,VS56_53,empirical,VS56_53_rep1_S101_R1_001.fastq.gz,1364846,86213,0.001950518,33.5,6.316683347425276,93.43623773802653,45.72994806693595
294,VS56_54_rep2_S150_R1_001,VS56_54,empirical,VS56_54_rep2_S150_R1_001.fastq.gz,1197287,36617,0.001867985,33.5,3.0583310434340305,75.28851702250434,16.53202538949798
295,VS56_54_rep1_S102_R1_001,VS56_54,empirical,VS56_54_rep1_S102_R1_001.fastq.gz,1572738,113575,0.001765706,33.5,7.2214825355526475,90.00288517022504,52.81304096941719
296,VS56_55_rep2_S151_R1_001,VS56_55,empirical,VS56_55_rep2_S151_R1_001.fastq.gz,1345400,30697,0.00184448,33.5,2.281626282146574,63.48817080207733,14.627813040969418
297,VS56_55_rep1_S103_R1_001,VS56_55,empirical,VS56_55_rep1_S103_R1_001.fastq.gz,1539214,32917,0.001927272,33.5,2.138559030778046,69.48932487016734,15.421234852856319
298,VS56_56_rep2_S152_R1_001,VS56_56,empirical,VS56_56_rep2_S152_R1_001.fastq.gz,1336051,22833,0.001883239,33.5,1.7089916477739249,58.82862088863243,9.34795152914022
299,VS56_56_rep1_S104_R1_001,VS56_56,empirical,VS56_56_rep1_S104_R1_001.fastq.gz,1298222,61614,0.00176778,33.5,4.7460295696729835,71.94171956145412,25.100980957876512
300,VS56_57_rep1_S105_R1_001,VS56_57,empirical,VS56_57_rep1_S105_R1_001.fastq.gz,1839696,84605,0.00144956,33.5,4.598857637348779,80.46739757645702,28.99596076168494
301,VS56_57_rep2_S153_R1_001,VS56_57,empirical,VS56_57_rep2_S153_R1_001.fastq.gz,1247284,38909,0.001784677,33.5,3.119498045352943,64.0796306982112,16.950375072129255
302,VS56_58_rep1_S106_R1_001,VS56_58,empirical,VS56_58_rep1_S106_R1_001.fastq.gz,2231539,86847,0.001732472,33.5,3.8917984404484978,75.20196191575302,27.75533756491633
303,VS56_58_rep2_S154_R1_001,VS56_58,empirical,VS56_58_rep2_S154_R1_001.fastq.gz,1561475,51663,0.001651472,33.5,3.308602443202741,67.62839007501442,19.57587997691864
304,VS56_59_rep2_S155_R1_001,VS56_59,empirical,VS56_59_rep2_S155_R1_001.fastq.gz,1473050,21032,0.002031191,33.5,1.4277858864261226,65.52221581073283,7.270628967109059
305,VS56_59_rep1_S107_R1_001,VS56_59,empirical,VS56_59_rep1_S107_R1_001.fastq.gz,1538299,59099,0.00199022,33.5,3.8418408904900803,64.05077899596077,25.259665320253895
306,VS56_6_rep1_S6_R1_001,VS56_6,empirical,VS56_6_rep1_S6_R1_001.fastq.gz,1636691,170163,0.002947644,33.5,10.396770068387985,85.99249855741489,51.4137334102712
307,VS56_6_rep2_S54_R1_001,VS56_6,empirical,VS56_6_rep2_S54_R1_001.fastq.gz,1176968,25294,0.001873962,33.5,2.1490813683974417,58.554529717253324,10.718407386035777
308,VS56_60_rep2_S156_R1_001,VS56_60,empirical,VS56_60_rep2_S156_R1_001.fastq.gz,1401770,52536,0.001670474,33.5,3.747833096727708,61.684939411425276,23.038084246970573
309,VS56_60_rep1_S108_R1_001,VS56_60,empirical,VS56_60_rep1_S108_R1_001.fastq.gz,1764595,59892,0.001858679,33.5,3.394093262193308,76.09636468551645,28.447778418926717
310,VS56_61_rep2_S157_R1_001,VS56_61,empirical,VS56_61_rep2_S157_R1_001.fastq.gz,1086931,18104,0.001868095,33.5,1.6656071084549064,60.3866128101558,6.361800346220427
311,VS56_61_rep1_S109_R1_001,VS56_61,empirical,VS56_61_rep1_S109_R1_001.fastq.gz,1427807,25073,0.001714992,33.5,1.7560496621742294,59.08828620888632,10.559723023658396
312,VS56_62_rep2_S158_R1_001,VS56_62,empirical,VS56_62_rep2_S158_R1_001.fastq.gz,1548858,58236,0.001424548,33.5,3.759931510829269,76.6733987305251,14.88747836122331
313,VS56_62_rep1_S110_R1_001,VS56_62,empirical,VS56_62_rep1_S110_R1_001.fastq.gz,1433126,217979,0.001280949,33.5,15.210037358892379,71.3069821119446,15.031736872475477
314,VS56_63_rep1_S111_R1_001,VS56_63,empirical,VS56_63_rep1_S111_R1_001.fastq.gz,1933158,78313,0.001817323,33.5,4.051039801195764,86.03577611079054,35.97807270628967
315,VS56_63_rep2_S159_R1_001,VS56_63,empirical,VS56_63_rep2_S159_R1_001.fastq.gz,1680206,46295,0.001891781,33.5,2.755316907569667,79.55856895556838,22.345643392960184
316,VS56_64_rep1_S112_R1_001,VS56_64,empirical,VS56_64_rep1_S112_R1_001.fastq.gz,1626853,50895,0.001939287,33.5,3.128432624213743,74.45181765724178,23.384304673975763
317,VS56_64_rep2_S160_R1_001,VS56_64,empirical,VS56_64_rep2_S160_R1_001.fastq.gz,1659841,113822,0.001855177,33.5,6.857403811569903,89.75764570109637,51.48586266589729
318,VS56_65_rep1_S113_R1_001,VS56_65,empirical,VS56_65_rep1_S113_R1_001.fastq.gz,1314214,67664,0.001774651,33.5,5.14862876213463,85.79053664166186,34.73744950952106
319,VS56_65_rep2_S161_R1_001,VS56_65,empirical,VS56_65_rep2_S161_R1_001.fastq.gz,1430407,48039,0.00185849,33.5,3.3584147728583544,73.97576457010963,23.701673398730524
320,VS56_66_rep2_S162_R1_001,VS56_66,empirical,VS56_66_rep2_S162_R1_001.fastq.gz,2221407,55008,0.001938991,33.5,2.4762684190695357,71.59549913444894,21.970571263704556
321,VS56_66_rep1_S114_R1_001,VS56_66,empirical,VS56_66_rep1_S114_R1_001.fastq.gz,1374363,71006,0.001882094,33.5,5.166466210164272,84.11713791113675,33.02077322562031
322,VS56_67_rep2_S163_R1_001,VS56_67,empirical,VS56_67_rep2_S163_R1_001.fastq.gz,1373534,70328,0.001876066,33.5,5.120222724737793,85.06924408540104,32.14079630698211
323,VS56_67_rep1_S115_R1_001,VS56_67,empirical,VS56_67_rep1_S115_R1_001.fastq.gz,1351844,117916,0.001796194,33.5,8.722604087453877,93.14772071552223,55.42412002308136
324,VS56_68_rep2_S164_R1_001,VS56_68,empirical,VS56_68_rep2_S164_R1_001.fastq.gz,1361542,232144,0.00190132,33.5,17.050079982842984,97.69186381996538,75.6203115983843
325,VS56_68_rep1_S116_R1_001,VS56_68,empirical,VS56_68_rep1_S116_R1_001.fastq.gz,1295028,38023,0.00197249,33.5,2.9360755134251924,67.12348528563186,17.440854010386612
326,VS56_69_rep2_S165_R1_001,VS56_69,empirical,VS56_69_rep2_S165_R1_001.fastq.gz,1462785,48492,0.001898458,33.5,3.3150462986700027,75.04327755337566,25.014425851125218
327,VS56_69_rep1_S117_R1_001,VS56_69,empirical,VS56_69_rep1_S117_R1_001.fastq.gz,1228768,22091,0.001985424,33.5,1.79781700044272,74.61050201961916,6.607039815349106
328,VS56_7_rep2_S55_R1_001,VS56_7,empirical,VS56_7_rep2_S55_R1_001.fastq.gz,1525064,139779,0.001943067,33.5,9.165451417120856,85.84824004616273,50.21638776687824
329,VS56_7_rep1_S7_R1_001,VS56_7,empirical,VS56_7_rep1_S7_R1_001.fastq.gz,1102252,36279,0.001889247,33.5,3.2913526126511905,73.39873052510099,16.97922677437969
330,VS56_70_rep1_S118_R1_001,VS56_70,empirical,VS56_70_rep1_S118_R1_001.fastq.gz,1713918,82577,0.001837316,33.5,4.8180251330577075,79.76053087132141,32.37160992498557
331,VS56_70_rep2_S166_R1_001,VS56_70,empirical,VS56_70_rep2_S166_R1_001.fastq.gz,1471209,62243,0.001775943,33.5,4.230738120824438,78.89497980380843,26.11079053664166
332,VS56_71_rep2_S167_R1_001,VS56_71,empirical,VS56_71_rep2_S167_R1_001.fastq.gz,1318668,26627,0.00174109,33.5,2.019234560935732,60.17022504327756,12.031159838430467
333,VS56_71_rep1_S119_R1_001,VS56_71,empirical,VS56_71_rep1_S119_R1_001.fastq.gz,2164693,70221,0.001719998,33.5,3.2439241961793193,60.314483554529716,18.190998268897864
334,VS56_72_rep1_S120_R1_001,VS56_72,empirical,VS56_72_rep1_S120_R1_001.fastq.gz,1527387,67112,0.001910538,33.5,4.393909336664513,80.35199076745528,32.66012694748991
335,VS56_72_rep2_S168_R1_001,VS56_72,empirical,VS56_72_rep2_S168_R1_001.fastq.gz,1620251,109761,0.001714088,33.5,6.774320768819152,87.92556260819389,50.447201384881716
336,VS56_73_rep2_S169_R1_001,VS56_73,empirical,VS56_73_rep2_S169_R1_001.fastq.gz,1644056,29207,0.001945424,33.5,1.7765209944186817,57.328332371609925,13.430467397576457
337,VS56_73_rep1_S121_R1_001,VS56_73,empirical,VS56_73_rep1_S121_R1_001.fastq.gz,1673412,28609,0.001852564,33.5,1.7096208226067457,64.29601846508945,13.09867282169648
338,VS56_74_rep2_S170_R1_001,VS56_74,empirical,VS56_74_rep2_S170_R1_001.fastq.gz,1427871,43142,0.001885402,33.5,3.0214214029138486,68.91229082515868,21.032890940565494
339,VS56_74_rep1_S122_R1_001,VS56_74,empirical,VS56_74_rep1_S122_R1_001.fastq.gz,1495894,70373,0.002016114,33.5,4.704410874032519,82.9197922677438,34.333525678015
340,VS56_75_rep1_S123_R1_001,VS56_75,empirical,VS56_75_rep1_S123_R1_001.fastq.gz,1347729,142319,0.001881969,33.5,10.559912267228798,93.23427582227352,52.03404500865552
341,VS56_75_rep2_S171_R1_001,VS56_75,empirical,VS56_75_rep2_S171_R1_001.fastq.gz,1855790,34066,0.001692597,33.5,1.835660284838263,70.47028274668206,12.377380265435661
342,VS56_76_rep2_S172_R1_001,VS56_76,empirical,VS56_76_rep2_S172_R1_001.fastq.gz,1320156,36346,0.001655753,33.5,2.7531594750923376,75.30294287362955,16.387766878245817
343,VS56_76_rep1_S124_R1_001,VS56_76,empirical,VS56_76_rep1_S124_R1_001.fastq.gz,1489111,224638,0.001891666,33.5,15.08537644272321,97.79284477784189,74.62492787074437
344,VS56_77_rep1_S125_R1_001,VS56_77,empirical,VS56_77_rep1_S125_R1_001.fastq.gz,1315723,46141,0.00202553,33.5,3.50689316824286,77.13502596653203,22.92267743796884
345,VS56_77_rep2_S173_R1_001,VS56_77,empirical,VS56_77_rep2_S173_R1_001.fastq.gz,1995399,95969,0.001788911,33.5,4.809514287618667,87.5937680323139,45.21061742642816
346,VS56_78_rep1_S126_R1_001,VS56_78,empirical,VS56_78_rep1_S126_R1_001.fastq.gz,1458469,165404,0.001928611,33.5,11.340933540582625,97.14368147720715,67.4408540103866
347,VS56_78_rep2_S174_R1_001,VS56_78,empirical,VS56_78_rep2_S174_R1_001.fastq.gz,1430627,42368,0.00191418,33.5,2.961498699521259,74.59607616849394,18.96999422965955
348,VS56_79_rep1_S127_R1_001,VS56_79,empirical,VS56_79_rep1_S127_R1_001.fastq.gz,1003392,37815,0.001708317,33.4,3.7687165135859164,69.22965954991345,15.796306982111943
349,VS56_79_rep2_S175_R1_001,VS56_79,empirical,VS56_79_rep2_S175_R1_001.fastq.gz,1534096,64426,0.002011921,33.5,4.19960680426779,82.61684939411425,27.221581073283325
350,VS56_8_rep2_S56_R1_001,VS56_8,empirical,VS56_8_rep2_S56_R1_001.fastq.gz,1065579,28074,0.001729002,33.5,2.6346239931530184,65.39238315060588,9.896133871898442
351,VS56_8_rep1_S8_R1_001,VS56_8,empirical,VS56_8_rep1_S8_R1_001.fastq.gz,852643,41128,0.002015172,33.5,4.823589708705754,71.91286785920369,18.869013271783036
352,VS56_80_rep1_S128_R1_001,VS56_80,empirical,VS56_80_rep1_S128_R1_001.fastq.gz,1425120,48924,0.001842041,33.5,3.432974065341866,80.00577034045008,23.788228505481822
353,VS56_80_rep2_S176_R1_001,VS56_80,empirical,VS56_80_rep2_S176_R1_001.fastq.gz,1318323,41836,0.002032221,33.4,3.173425632413301,67.5129832660127,18.854587420657822
354,VS56_81_rep2_S177_R1_001,VS56_81,empirical,VS56_81_rep2_S177_R1_001.fastq.gz,2380806,90003,0.001734387,33.4,3.7803584164354427,82.18407386035777,38.71898442008078
355,VS56_81_rep1_S129_R1_001,VS56_81,empirical,VS56_81_rep1_S129_R1_001.fastq.gz,1396575,20187,0.001998316,33.5,1.4454647978089255,61.94460473167916,7.559145989613388
356,VS56_82_rep2_S178_R1_001,VS56_82,empirical,VS56_82_rep2_S178_R1_001.fastq.gz,1745277,54936,0.001869812,33.5,3.1476951796190518,81.56376226197347,27.639930755914598
357,VS56_82_rep1_S130_R1_001,VS56_82,empirical,VS56_82_rep1_S130_R1_001.fastq.gz,2704179,108891,0.001915494,33.5,4.026767458810974,86.90132717830352,46.984997114829774
358,VS56_83_rep1_S131_R1_001,VS56_83,empirical,VS56_83_rep1_S131_R1_001.fastq.gz,1526473,22714,0.001925685,33.5,1.488005356137973,60.27120600115406,9.809578765147144
359,VS56_83_rep2_S179_R1_001,VS56_83,empirical,VS56_83_rep2_S179_R1_001.fastq.gz,2445667,46423,0.001806863,33.5,1.8981733817400326,80.30871321407963,21.32140796306982
360,VS56_84_rep2_S180_R1_001,VS56_84,empirical,VS56_84_rep2_S180_R1_001.fastq.gz,2039939,57661,0.001739477,33.5,2.8266041288489507,81.18869013271784,29.125793421811885
361,VS56_84_rep1_S132_R1_001,VS56_84,empirical,VS56_84_rep1_S132_R1_001.fastq.gz,1657735,79734,0.001820052,33.5,4.809815802887675,77.94287362954414,37.82458165031737
362,VS56_85_rep1_S133_R1_001,VS56_85,empirical,VS56_85_rep1_S133_R1_001.fastq.gz,1634157,279614,0.001797621,33.5,17.11059586074043,97.18695903058281,77.04847085978072
363,VS56_85_rep2_S181_R1_001,VS56_85,empirical,VS56_85_rep2_S181_R1_001.fastq.gz,1373451,31553,0.001866067,33.5,2.297351707487198,72.92267743796884,14.122908251586844
