sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
119,VS56_148_rep2_S340_R1_001,VS56_148,empirical,VS56_148_rep2_S340_R1_001.fastq.gz,1332470,31929,0.001745748,33.5,2.3962265566954604,65.43566070398154,14.743219849971148
120,VS56_149_rep1_S293_R1_001,VS56_149,empirical,VS56_149_rep1_S293_R1_001.fastq.gz,1333443,16525,0.001883207,33.5,1.2392730697900098,63.71898442008078,4.414310444316214
121,VS56_149_rep2_S341_R1_001,VS56_149,empirical,VS56_149_rep2_S341_R1_001.fastq.gz,1425411,46059,0.001784233,33.5,3.2312785575528737,73.71609924985574,22.287939988459318
122,VS56_15_rep2_S63_R1_001,VS56_15,empirical,VS56_15_rep2_S63_R1_001.fastq.gz,1075895,31178,0.001599846,33.5,2.8978664274859534,63.05539526832084,10.473167916907098
123,VS56_15_rep1_S15_R1_001,VS56_15,empirical,VS56_15_rep1_S15_R1_001.fastq.gz,1055502,32419,0.001980937,33.4,3.0714295188450613,73.7738026543566,15.190421234852854
124,VS56_150_rep1_S294_R1_001,VS56_150,empirical,VS56_150_rep1_S294_R1_001.fastq.gz,1405084,100897,0.001919383,33.5,7.180851820958748,90.32025389497981,43.753606462781306
125,VS56_150_rep2_S342_R1_001,VS56_150,empirical,VS56_150_rep2_S342_R1_001.fastq.gz,1380433,94387,0.00181508,33.5,6.837492294084538,89.9596076168494,44.40276976341604
126,VS56_151_rep2_S343_R1_001,VS56_151,empirical,VS56_151_rep2_S343_R1_001.fastq.gz,1590115,21160,0.002096408,33.5,1.3307213629202919,66.35891517599538,7.487016733987304
127,VS56_151_rep1_S295_R1_001,VS56_151,empirical,VS56_151_rep1_S295_R1_001.fastq.gz,1268540,40142,0.002023815,33.5,3.1644252447695775,52.09174841315638,16.24350836699365
128,VS56_152_rep1_S296_R1_001,VS56_152,empirical,VS56_152_rep1_S296_R1_001.fastq.gz,1524452,78759,0.001806524,33.5,5.166381099568895,84.26139642238893,34.07386035776111
129,VS56_152_rep2_S344_R1_001,VS56_152,empirical,VS56_152_rep2_S344_R1_001.fastq.gz,1531802,129171,0.001783992,33.5,8.432617270378287,92.1667628390075,54.60184650894403
130,VS56_153_rep1_S297_R1_001,VS56_153,empirical,VS56_153_rep1_S297_R1_001.fastq.gz,1519109,47458,0.001853428,33.5,3.1240681215107013,72.54760530871322,20.975187536064627
131,VS56_153_rep2_S345_R1_001,VS56_153,empirical,VS56_153_rep2_S345_R1_001.fastq.gz,1329623,32255,0.001710742,33.5,2.425875605340762,55.85689555683785,13.70455856895557
132,VS56_154_rep2_S346_R1_001,VS56_154,empirical,VS56_154_rep2_S346_R1_001.fastq.gz,1427803,54410,0.001743797,33.5,3.810749802318667,68.3064050778996,19.33064050778996
133,VS56_154_rep1_S298_R1_001,VS56_154,empirical,VS56_154_rep1_S298_R1_001.fastq.gz,1357363,46685,0.001651066,33.5,3.4393894632460147,66.41661858049625,14.526832083092902
134,VS56_155_rep1_S299_R1_001,VS56_155,empirical,VS56_155_rep1_S299_R1_001.fastq.gz,1529852,46580,0.001779734,33.5,3.0447389682139185,74.04789382573573,23.64396999422966
135,VS56_155_rep2_S347_R1_001,VS56_155,empirical,VS56_155_rep2_S347_R1_001.fastq.gz,1549085,684357,0.001860929,33.5,44.17814387202768,99.32198499711482,59.07386035776111
136,VS56_156_rep1_S300_R1_001,VS56_156,empirical,VS56_156_rep1_S300_R1_001.fastq.gz,2397437,210072,0.001867741,33.5,8.76235746757892,95.75879976918638,70.5135603000577
137,VS56_156_rep2_S348_R1_001,VS56_156,empirical,VS56_156_rep2_S348_R1_001.fastq.gz,1361918,37221,0.002059053,33.5,2.732983924142276,63.99307559145989,16.30121177149452
138,VS56_157_rep2_S349_R1_001,VS56_157,empirical,VS56_157_rep2_S349_R1_001.fastq.gz,1370175,54625,0.001806499,33.5,3.9867170251975113,78.72186959030583,20.80207732256203
139,VS56_157_rep1_S301_R1_001,VS56_157,empirical,VS56_157_rep1_S301_R1_001.fastq.gz,1429856,73130,0.001724053,33.5,5.114501040664235,87.13214079630698,27.856318522792844
